start,STATE,LGA,Name of SEEFOR FADAMA Community Association (SFCA),Name of SEEFOR FADAMA User Groups (SFUG),Type of Sub-project Enterprise,CROP PRODUCTION,FISHERY,LIVESTOCK,POULTRY,PROCESSING,MARKETING,RURAL INFRASTRUCTURE,FORESTRY,Total Cost of Sub-Project,IDA Amount,Beneficiary Contribution,Total Amount Disbursed,Date of disbursement,Status of Sub-Project,Duration of Sub-Project Implementation,Total Number of Service Providers,Total number of enterprise beneficiaries,Number of members with access to extension services,People that has access to services support by the SEEFOR FADAMA Project,People that has access to services support by the SEEFOR FADAMA Project/Capacity building services,People that has access to services support by the SEEFOR FADAMA Project/Advisory Services,People that has access to services support by the SEEFOR FADAMA Project/People that have access to rural infrastructure services,People that has access to services support by the SEEFOR FADAMA Project/Input Support,Number of Meetings,Frequency of meetings held by Group,Average Size of Each Members’ Household,Number of Direct Beneficiaries: Male,Number of Direct Beneficiaries: Female,Number of beneficiaries under supported services: Male,Number of beneficiaries under supported services: Female,Number of Indirect Beneficiaries: Male,Number of Indirect Beneficiaries: Female,Number of person employed on permanent basis (Male),Number of person employed on permanent basis (Female),Number of person employed on temporary basis (Male),Number of person employed on temporary basis (Female),Crop Production: Metric Tons per Hecta,Fishery: Number of Kg,Livestock: Number of Livestock,Poultry: Number of Birds,Poultry: Crate of Eggs,Processing: Volume of Produce Processed (Kg),Number of Production Cycle,FUEF Amount Saved,Picture of Sub-project 1,Picture of Sub-project 2,GPS Coordinates of site,_GPS Coordinates of site_latitude,_GPS Coordinates of site_longitude,_GPS Coordinates of site_altitude,_GPS Coordinates of site_precision,Success Stories due to presence of intervention,Do you have any challenges?,"If yes, what is the challenge?",Risk factors,Risk factors/Militancy,Risk factors/Oil Spillage,Risk factors/Flood,Risk factors/Others,"If others, specify?",Name of Data Collector,Signature of Data Collector,Name of SEEFOR FADAMA User Groups (SFUGs),Type of enterprise,Total number of membership,Frequency of meetings held,Number of Male,Number of Female,Frequency of meetings held by Groups,Number of person employed on permanent basis (Male),Number of person employed on permanent basis (Female),Number of person employed on temporary basis (Male),Number of person employed on temporary basis (Female),People that has access to services support by the SEEFOR FADAMA Project,Amount disbursed,Duration of Sub-Project,Total Number of Service Provider,Picture of Site,GIS Coordinates of site,_GIS Coordinates of site_latitude,_GIS Coordinates of site_longitude,_GIS Coordinates of site_altitude,_GIS Coordinates of site_precision,Increase of Agricultural Production for SEEFOR FADAMA,Picture of Sub-project,calculation,Number of Indirect Beneficiaries Male ${calculation},calculation_001,Number of Indirect Beneficiaries Female ${calculation_001},Sustainability Measures,Picture of Sub-project 3,"If yes, specify?",_id,_uuid,_submission_time,_validation_status,_index
2019-09-25T10:10:48.650+01:00,EDO,ESAN SOUTH EAST,IFEKU,ILLUSHI IYEMI OYEMEN,CROP PRODUCTION,Yam/Minisett,,,,,,,,1290000,775000,515000,775000,22-11-18,Completed,7 - 9 Months,1,13,13,Capacity building services Advisory Services Input Support,1,1,0,1,14,14,24,9,4,9,4,5,1,1,0,4,1,50,,,,,,2,125000,1569406174204.jpg,1569406203507.jpg,6.675259999999999 6.570858333333333 37.1 4.0,6.67526,6.570858333,37.1,4,GREAT INCREASE IN YAM PRODUCTION IN OUR COMMUNITY,Yes,PEST CONTROL,,,,,,,IK NWAFOR,1569406249612.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37673383,5e8ec073-1707-448c-ae87-8d8a3384b6da,2019-09-26T06:12:30,,11
2019-09-25T10:04:04.005+01:00,EDO,ESAN SOUTH EAST,IFEKU,IFEKU YANYO,CROP PRODUCTION,Yam/Minisett,,,,,,,,1290000,775000,515000,775000,22-11-17,Completed,7 - 9 Months,1,14,14,Capacity building services Advisory Services Input Support,1,1,0,1,22,22,32,10,4,10,4,7,1,1,0,6,1,50,,,,,,2,60000,1569410244164.jpg,1569410255558.jpg,6.665775 6.551281666666667 97.7 4.2,6.665775,6.551281667,97.7,4.2,ITS HAS BROUGHT ABOUT INCREASE IN YAM PRODUCTION IN OUR COMMUNITY,Yes,PEST CONTROL,,,,,,,IK NWAFOR,1569402641894.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37673371,ada0c8b0-d706-4c21-9eae-cd02254b804b,2019-09-26T06:12:24,,12
2019-09-25T09:48:08.810+01:00,EDO,ESAN NORTH EAST,ONOSEMUDIANA CROSS SFCA PROJECT,,RURAL INFRASTRUCTURE,,,,,,,Rural Market,,1110000,999000,111000,999000,14-06-18,Completed,Above 1 Year,4,70,70,People that have access to rural infrastructure services,0,0,1,0,16,16,96,50,20,50,20,5,3,0,0,5,3,,,,,,,0,0,1569401340789.jpg,1569401362329.jpg,6.721913333333333 6.375666666666666 343.4 3.4,6.721913333,6.375666667,343.4,3.4,WITH THE HELP OF THIS INTERVENTION WE NOW HAVE 8 STORES THAT JUST STARTING BUSINESS,Yes,LACK OF POWER SUPPLY,,,,,,,IK NWAFOR,1569402122263.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37673361,cf67756e-6a2d-4029-8fd0-a829ccf9f672,2019-09-26T06:12:19,,13
2019-10-17T04:37:57.167+01:00,BAYELSA,KOLOKUMA/OPOKUMA,KALAMA,,RURAL INFRASTRUCTURE,,,,,,,Other,,3300000,3000000,300000,3000000,17-11-15,Completed,Above 1 Year,3,100,100,People that have access to rural infrastructure services Capacity building services Advisory Services Input Support,1,1,1,1,35,3,4,40,60,40,60,250,450,0,0,0,0,,,,,,3500,50,32000,1571643897006.jpg,1571644095948.jpg,5.132603333333334 6.336685 4.8 3.5,5.132603333,6.336685,4.8,3.5,,Yes,YEARLY FLOODING,Flood,0,0,1,0,,SUODOH EGBUSON,1571283690761.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39147049,40dbf1d9-6f5c-4435-b0f1-11f0820de70b,2019-10-21T08:40:27,,14
2019-10-17T04:34:49.473+01:00,BAYELSA,KOLOKUMA/OPOKUMA,KALAMA,KENIWENIMO,CROP PRODUCTION,Cassava,,,,,,,,1350000,950000,400000,950000,29-04-15,Completed,10 - 12 Months,2,10,10,Capacity building services Advisory Services People that have access to rural infrastructure services Input Support,1,1,1,1,30,3,4,4,6,4,6,30,40,0,0,0,0,3100,,,,,,3,10000,1571644590393.jpg,1571644629477.jpg,5.13078 6.336896666666666 4.3 3.2,5.13078,6.336896667,4.3,3.2,,Yes,FLOODING PROBLEMS,Flood,0,0,1,0,,SUODOH EGBUSON,1571283467206.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39147041,c97d21e2-94d1-4a1a-9ab9-1a2c3a6ea60f,2019-10-21T08:40:21,,15
2019-10-17T04:29:54.102+01:00,BAYELSA,KOLOKUMA/OPOKUMA,KALAMA,KAMPCO,FISHERY,,Fish Pond,,,,,,,1350000,950000,400000,950000,30-04-15,Completed,7 - 9 Months,2,10,10,Capacity building services Advisory Services People that have access to rural infrastructure services Input Support,1,1,1,1,25,2,3,7,3,7,3,50,20,0,0,0,0,,2200,,,,,3,11000,1571646344295.jpg,1571646361986.jpg,5.1240483333333335 6.336631666666666 5.7 3.5,5.124048333,6.336631667,5.7,3.5,THE INTERVENTION HAS BEEN HELPFUL,Yes,FLOODING AND THEFT,Flood,0,0,1,0,,SUODOH EGBUSON,1571283272048.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39147035,405f2ea5-2dd3-4d92-a80a-d0c892e6b02f,2019-10-21T08:40:11,,16
2019-10-17T04:25:00.167+01:00,BAYELSA,KOLOKUMA/OPOKUMA,KALAMA,KALAMA,CROP PRODUCTION,Plantain,,,,,,,,1380000,971000,409000,971000,29-04-15,Completed,10 - 12 Months,2,10,10,Capacity building services Advisory Services People that have access to rural infrastructure services Input Support,1,1,1,1,32,3,3,7,3,7,3,45,25,0,0,0,0,2900,,,,,,3,10000,1571644734009.jpg,1571644755888.jpg,5.130323333333333 6.336713333333334 9.5 3.2,5.130323333,6.336713333,9.5,3.2,,Yes,FLOODING PROBLEMS,Flood,0,0,1,0,,SUODOH EGBUSON,1571282977490.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39147027,fe731dd4-4739-4c0d-a7e0-fd85a4193789,2019-10-21T08:40:04,,17
2019-10-17T04:14:38.607+01:00,BAYELSA,KOLOKUMA/OPOKUMA,KALAMA,BOUSO OGBO,CROP PRODUCTION,Plantain,,,,,,,,1300000,915000,385000,915000,29-04-15,Completed,10 - 12 Months,2,10,10,Capacity building services Advisory Services People that have access to rural infrastructure services Input Support,1,1,1,1,25,2,3,4,6,4,6,30,40,0,0,0,0,2535,,,,,,3,,1571645158688.jpg,1571645171109.jpg,5.128673333333333 6.335759999999999 6.1 3.5,5.128673333,6.33576,6.1,3.5,,Yes,FLOODING PROBLEMS,Flood,0,0,1,0,,SUODOH EGBUSON,1571282453063.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39147013,4a958303-92d2-4f93-b648-e92072689e6f,2019-10-21T08:39:54,,18
2019-10-13T14:45:01.534+01:00,BAYELSA,KOLOKUMA/OPOKUMA,KALAMA,ERE-AMENE PLANTAIN FARMERS,CROP PRODUCTION,Plantain,,,,,,,,1380000,971000,409000,971000,01-05-14,Completed,Above 1 Year,3,10,10,Input Support People that have access to rural infrastructure services Advisory Services Capacity building services,1,1,1,1,12,1,5,7,3,7,3,45,25,0,0,1,0,32,,,,,,5,,1571644451468.jpg,1571644516653.jpg,5.131386666666667 6.336765000000001 10.4 2.0,5.131386667,6.336765,10.4,2,,Yes,Flood,Flood,0,0,1,0,,VICTOR FORCADOS,1570974480964.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39146949,39c5c55c-7a88-44e3-ba40-5046688e4af1,2019-10-21T08:39:06,,19
2019-10-13T14:41:39.988+01:00,BAYELSA,KOLOKUMA/OPOKUMA,KALAMA,YEBUDONGHA PLANTAIN FARMERS,CROP PRODUCTION,Plantain,,,,,,,,1350000,950000,400000,950000,01-05-14,Completed,Above 1 Year,3,10,10,Input Support People that have access to rural infrastructure services Advisory Services Capacity building services,1,1,1,1,12,1,5,3,7,3,7,25,45,0,0,1,0,28,,,,,,5,25000,1571646868964.jpg,1571646880695.jpg,5.122706666666667 6.333326666666666 9.6 3.7,5.122706667,6.333326667,9.6,3.7,,No,,Flood,0,0,1,0,,VICTOR FORCADOS,1570974287424.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39146908,4b0e0140-77cb-4ed7-8206-91e11f0d3b5d,2019-10-21T08:38:48,,20
2019-10-13T14:38:40.957+01:00,BAYELSA,KOLOKUMA/OPOKUMA,KALAMA,BIOTU CASSAVA FARMERS,CROP PRODUCTION,Cassava,,,,,,,,1320000,929000,391000,929000,01-05-14,Completed,Above 1 Year,3,10,10,Input Support People that have access to rural infrastructure services Advisory Services Capacity building services,1,1,1,1,12,1,5,6,4,6,4,35,35,0,0,1,1,30,,,,,,5,,1571645604531.jpg,1571645618339.jpg,5.12779 6.336386666666668 10.9 3.6,5.12779,6.336386667,10.9,3.6,,Yes,Annual flooding,Flood,0,0,1,0,,VICTOR FORCADOS,1570974090985.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39146901,24936377-6006-453c-90a0-11a3ad01d535,2019-10-21T08:38:43,,21
2019-10-13T14:34:27.505+01:00,BAYELSA,KOLOKUMA/OPOKUMA,KALAMA,YELA CASSAVA FARMERS,CROP PRODUCTION,Cassava,,,,,,,,1384000,973000,411000,973000,01-05-14,Completed,Above 1 Year,3,10,10,Input Support People that have access to rural infrastructure services Advisory Services Capacity building services,1,1,1,1,14,1,5,9,1,9,1,40,30,0,0,2,0,31,,,,,,5,46000,1571645740671.jpg,1571645754737.jpg,5.12719 6.336718333333333 15.0 3.5,5.12719,6.336718333,15,3.5,,Yes,ANNUAL FLOODS,Flood,0,0,1,0,,VICTOR FORCADOS,1570973907245.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39146891,06545f8a-83d0-4b95-b6c5-a4b23bc87def,2019-10-21T08:38:37,,22
2019-10-21T06:15:39.634+01:00,BAYELSA,YENEGOA,EKEKI FADAMA111 SEEFOR COMMUNITY ASSOCIATION,ZEDIE EKEKI FADAMA111 SEEFOR PLANTAIN FARMERS CSL,CROP PRODUCTION,Plantain,,,,,,,,1015000,720500,294500,720500,29-09-17,Completed,Above 1 Year,3,10,10,Capacity building services Advisory Services People that have access to rural infrastructure services Input Support,1,1,1,1,12,1,7,4,6,4,6,41,29,0,0,0,0,45,,,,,,1,35000,1571647044941.jpg,1571647066091.jpg,4.931315 6.300118333333334 3.2 7.5,4.931315,6.300118333,3.2,7.5,INCREASED INCOME,Yes,POACHING AND HIGH COST OF INPUTS,Flood,0,0,1,0,,ETIMI PIOUS,1571635118994.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39146889,04d3ba94-6884-42aa-89b1-8d278d883176,2019-10-21T08:38:37,,23
2019-10-13T14:23:19.629+01:00,BAYELSA,KOLOKUMA/OPOKUMA,KALAMA,TARILADO CASSAVA FARMERS,CROP PRODUCTION,Cassava,,,,,,,,1350000,950000,400000,950000,01-05-14,Completed,Above 1 Year,3,10,10,Input Support People that have access to rural infrastructure services Advisory Services Capacity building services,1,1,1,1,13,1,5,3,7,3,7,30,40,0,0,0,2,28,,,,,,6,50000,1571644998038.jpg,1571645017873.jpg,5.129246666666666 6.336331666666666 6.4 2.3,5.129246667,6.336331667,6.4,2.3,,Yes,HIGH FLOOD WATERS DESTROYS THE CROPS YEARLY,Flood,0,0,1,0,,VICTOR FORCADOS,1571645089271.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39146874,d40b9bf4-d64b-4174-9517-ca22c220a313,2019-10-21T08:38:29,,24
2019-10-13T14:12:46.560+01:00,BAYELSA,KOLOKUMA/OPOKUMA,KALAMA,SII-OGBO CASSAVA FARMERS,CROP PRODUCTION,Cassava,,,,,,,,1268571,893000,375571,893000,01-05-14,Completed,Above 1 Year,3,10,10,Input Support People that have access to rural infrastructure services Advisory Services Capacity building services,1,1,1,1,12,1,5,7,3,7,3,35,35,0,0,2,0,30,,,,,,6,58000,1571644885156.jpg,1571644895006.jpg,5.129856666666667 6.336601666666667 2.5 2.4,5.129856667,6.336601667,2.5,2.4,,Yes,FLOOD,Flood,0,0,1,0,,VICTOR FORCADOS,1570972933225.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39146864,546255fd-de84-4bde-b35f-8eb89551c4af,2019-10-21T08:38:15,,25
2019-10-21T06:18:56.888+01:00,BAYELSA,YENEGOA,EKEKI FADAMA111 SEEFOR COMMUNITY ASSOCIATION,PULU EKEKI FADAMA111 SEEFOR CASSAVA FARMERS CSL,CROP PRODUCTION,Cassava,,,,,,,,1015000,720500,294500,720500,29-09-17,Completed,Above 1 Year,3,10,10,Capacity building services Advisory Services People that have access to rural infrastructure services Input Support,1,1,1,1,12,1,7,0,10,0,10,31,39,0,0,0,0,30,,,,,30000,2,35000,1571646614204.jpg,1571646627073.jpg,4.932076666666667 6.300458333333334 -2.4 7.3,4.932076667,6.300458333,-2.4,7.3,INCREASED INCOME,Yes,HIGH COST OF INPUTS,Flood,0,0,1,0,,ETIMI PIOUS,1571635316817.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39146464,188350f2-a012-4c26-a745-b1ab278b4e8e,2019-10-21T08:31:22,,26
